cms_id,supplement_tag_list_x,content_tag_list_x,operations_tag_list_x,supplement_tag_list_y,content_tag_list_y,operations_tag_list_y,Difference
6447a178fe5b92fdaf1c28ac,"['PBN速写图', '方形', '普通', '中等']",['庭院'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan']","['PBN普通图', '方形', '普通', '中等']",['庭院'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan', 'PBN普通图']",True
64537f92f2a65e19d9378e28,"['方形', '普通', '困难', 'PBN速写图']",['现代简约式客厅'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang']","['方形', '普通', '困难', 'PBN普通图', '困难']",['现代简约式客厅'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang', 'PBN普通图']",True
64537f92f2a65e19d9378e27,"['方形', '普通', '困难', 'PBN速写图']",['其他车'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang']","['方形', '普通', '困难', 'PBN普通图', '困难']",['其他车'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang', 'PBN普通图']",True
644b99b5b656523903a5b800,"['方形', '普通', '困难', 'PBN速写图']",['越野车'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang']","['方形', '普通', '困难', 'PBN普通图', '困难']",['越野车'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang', 'PBN普通图']",True
644b99b5b656523903a5b7fe,"['方形', '普通', '困难', 'PBN速写图']",['湖泊'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan']","['方形', '普通', '困难', 'PBN普通图', '困难']",['湖泊'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan', 'PBN普通图']",True
644b99b5b656523903a5b7ff,"['方形', '普通', '困难', 'PBN速写图']",['花园'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan']","['方形', '普通', '困难', 'PBN普通图', '困难']",['花园'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan', 'PBN普通图']",True
644b99b5b656523903a5b801,"['方形', '普通', '困难', 'PBN速写图']",['自行车'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang']","['方形', '普通', '困难', 'PBN普通图', '困难']",['自行车'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang', 'PBN普通图']",True
6447a178fe5b92fdaf1c28ae,"['方形', '普通', '困难', 'PBN速写图']",['花园'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan']","['方形', '普通', '困难', 'PBN普通图', '困难']",['花园'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan', 'PBN普通图']",True
6447a178fe5b92fdaf1c28aa,"['方形', '普通', '困难', 'PBN速写图']",['其他花'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan']","['方形', '普通', '困难', 'PBN普通图', '困难']",['其他花'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan', 'PBN普通图']",True
6447a178fe5b92fdaf1c28a9,"['方形', '普通', '困难', 'PBN速写图']",['树'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan']","['方形', '普通', '困难', 'PBN普通图', '困难']",['树'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan', 'PBN普通图']",True
6447a178fe5b92fdaf1c28a8,"['方形', '普通', '困难', 'PBN速写图']",['湖泊'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan']","['方形', '普通', '困难', 'PBN普通图', '困难']",['湖泊'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan', 'PBN普通图']",True
6447a022fe5b92fdaf1c278a,"['普通作者包', '方形', '普通', '困难']",['现代简约式客厅'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang']","['方形', '普通', '困难', '困难', 'PBN普通图']",['现代简约式客厅'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang', 'PBN普通图']",True
6447a022fe5b92fdaf1c2788,"['普通作者包', '方形', '普通', '困难']",['自行车'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang', '音乐图']","['方形', '普通', '困难', '困难', 'PBN普通图']",['自行车'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang', 'PBN普通图', '音乐图']",True
644657b3eb3a4b38741201ea,"['普通作者包', '方形', '普通', '困难', 'PBN速写图']",['其他客厅'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan']","['普通作者包', '方形', '普通', '困难', 'PBN普通图', '困难']",['其他客厅'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan', 'PBN普通图']",True
644657b3eb3a4b38741201e7,"['普通作者包', '方形', '普通', '困难', 'PBN速写图']",['其他奇幻人物'],"['线稿采购', '普通作者包-ac-Ivan_Zhydkykh']","['普通作者包', '方形', '普通', '困难', 'PBN普通图', '困难']",['其他奇幻人物'],"['线稿采购', '普通作者包-ac-Ivan_Zhydkykh', 'PBN普通图']",True
6446563867fa70aec44403b3,"['普通作者包', '方形', '普通', '困难']",['拖拉机'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang']","['方形', '普通', '困难', '困难', 'PBN普通图']",['拖拉机'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang', 'PBN普通图']",True
64426273076396aa13e1218f,"['普通作者包', '方形', '普通', '困难']",['摩托车'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang']","['方形', '普通', '困难', '困难', 'PBN普通图']",['摩托车'],"['线稿采购', '普通作者包-Joseph_Lu_Ju_Riang', 'PBN普通图']",True
642bec601eafe8f974389c91,"['彩绘作者包', '方形', '彩绘', '灰度素材', '中等']",['情侣'],"['成图采购', '爱情']","['彩绘作者包', '方形', '彩绘', '灰度素材', '中等']",['情侣'],"['成图采购', '彩绘作者包- Aidana_Ryskulova', '爱情']",True
6424f8cb6c96e596389fd08a,"['彩绘作者包', '方形', '彩绘', '灰度素材', '困难', '复活节']",['欧美日常女性'],"['成图采购', '2023复活节运营图']","['彩绘作者包', '方形', '彩绘', '灰度素材', '困难', '复活节', '困难']",['欧美日常女性'],"['成图采购', '彩绘作者包- Aidana_Ryskulova', '2023复活节运营图']",True
64240c047be7a2d2df6ff842,"['彩绘作者包', '方形', '彩绘', '灰度素材', '中等']",['其他奇幻人物'],['成图采购'],"['彩绘作者包', '方形', '彩绘', '灰度素材', '中等']",['其他奇幻人物'],"['成图采购', '彩绘作者包- Aidana_Ryskulova']",True
64240c047be7a2d2df6ff834,"['彩绘作者包', '方形', '彩绘', '灰度素材', '困难']",['欧美时尚女性'],"['成图采购', '2023复活节运营图']","['彩绘作者包', '方形', '彩绘', '灰度素材', '困难', '困难', '复活节']",['欧美时尚女性'],"['成图采购', '彩绘作者包- Aidana_Ryskulova', '2023复活节运营图']",True
642165e5af1ceb9e1cdd2f18,"['普通作者包', '方形', '普通', '困难']",['其他奇幻房屋'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan']","['方形', '普通', '困难', '困难', 'PBN普通图']",['其他奇幻房屋'],"['线稿采购', '普通作者包-小g-Faris_Setiyawan', 'PBN普通图']",True
