cms_id,supplement_tag_list,content_tag_list,operations_tag_list
65e012ada64b6582fe0630b2,[],['孩子'],"['美好生活的喜悦', 'VitaColor速写图']"
65e012ada64b6582fe0630b3,[],['其他花'],"['生机带来的希望', 'iPad速写图']"
65e012ada64b6582fe0630af,"['方形', '普通', '困难']",['湖泊'],"['ZenColor速写图', '人工融入自然的宁静']"
65e012ada64b6582fe0630ae,"['方形', '彩绘', '困难']",['帆船'],"['生活环境的宁静', '彩绘作者包-徐同舟']"
65e012ada64b6582fe0630b6,[],['情侣'],"['爱情', 'VitaColor速写图']"
65e012ada64b6582fe0630b4,[],['其他狗'],"['美好生活的喜悦', 'VitaColor速写图']"
65e012ada64b6582fe0630b5,[],['其他车'],"['VitaColor速写图', '生活环境的宁静']"
65e012ada64b6582fe0630b1,"['方形', '普通', '困难']",['其他花'],"['ZenColor普通图', '秩序化实体']"
65e012ada64b6582fe0630b0,"['方形', '普通', '困难']",['鹦鹉'],"['ZenColor Daily', '生机带来的希望', '高挑战图']"
65e012ada64b6582fe0630ad,"['方形', '普通', '中等']",['莲花'],"['ZenColor普通图', '秩序化实体']"
65e012ada64b6582fe0630ac,"['方形', '普通', '中等']",['其他花'],"['ZenColor普通图', '秩序化实体']"
65dec788a64b6582fe06132c,[],['其他车'],"['美好事物带来的愉悦', 'iPad速写图']"
65dec788a64b6582fe06132a,"['方形', '普通', '困难']",['街道'],"['ZenColor速写图', '生活环境的宁静']"
65dec788a64b6582fe06132e,[],['蘑菇'],"['VitaColor速写图', '生机带来的希望']"
65dec788a64b6582fe06132b,[],['罂粟花'],"['生机带来的希望', 'iPad速写图']"
65dec788a64b6582fe06132d,[],['松鼠'],"['生机带来的希望', 'VitaColor速写图']"
65dec788a64b6582fe061329,"['方形', '彩绘', '中等']",['多种宠物'],"['美好生活的喜悦', 'iPad彩绘图', '彩绘作者包-Ducky']"
65dd72f3a64b6582fe05f80e,[],['其他花'],"['iPad速写图', '生机带来的希望']"
65dd72f3a64b6582fe05f80f,[],['欧美日常女性'],"['美好生活的喜悦', '彩绘作者包-Kari_Artik', '成图采购']"
65dd72f3a64b6582fe05f80d,[],['其他豹'],"['生机带来的希望', 'iPad速写图']"
65dd72f3a64b6582fe05f80c,[],['孩子'],"['兴趣活动的喜悦', 'iPad速写图']"
65dd72f3a64b6582fe05f804,"['方形', '普通', '困难']",['曼陀罗'],"['ZenColor普通图', '曼陀罗']"
65dd72f3a64b6582fe05f808,"['方形', '彩绘', '困难']",['多种宠物'],"['美好生活的喜悦', '彩绘作者包-Jenny_Newland', '成图采购']"
65dd72f3a64b6582fe05f80a,[],['鸭'],"['VitaColor速写图', '生机带来的希望']"
65dd72f3a64b6582fe05f80b,[],['森林'],"['自然环境的宁静', 'iPad速写图']"
65dd72f3a64b6582fe05f807,"['方形', '普通', '困难']",['其他船'],"['神秘图', '美好事物带来的愉悦']"
65dd72f3a64b6582fe05f809,"['方形', '彩绘', '困难']",['鹦鹉'],"['生机带来的希望', 'iPad彩绘图', '彩绘作者包-Ducky']"
65dd72f3a64b6582fe05f803,"['方形', '普通', '困难']",['皮卡'],"['ZenColor Daily', '美好事物带来的愉悦', '高挑战图']"
65dd72f3a64b6582fe05f806,"['方形', '普通', '困难']",['抽象线条'],"['ZenColor普通图', '秩序化图案']"
65dd72f3a64b6582fe05f805,"['方形', '普通', '困难']",['平铺图案'],"['ZenColor普通图', '秩序化图案']"
65dd72f3a64b6582fe05f802,"['方形', '普通', '困难']",['港口码头'],"['ZenColor速写图', '生活环境的宁静', '极限挑战图']"
65b33c58a64b6582fe03a6bc,[],['其他鸟'],['投放需求']
65aa171a73358196a164c6bc,[],['平铺图案'],['投放需求']
65aa171a73358196a164c6bb,"['方形', '普通', '中等']",['平铺图案'],['投放需求']
65dc2e7e73358196a167e39c,[],['猫头鹰'],"['生机带来的希望', 'iPad速写图']"
65dc2e7e73358196a167e39e,[],['其他食物'],"['美好事物带来的愉悦', 'iPad速写图']"
65dc2e7e73358196a167e39d,[],['牛'],"['iPad速写图', '生机带来的希望']"
65dc2e7e73358196a167e39b,[],['老人'],"['美好生活的喜悦', 'iPad速写图']"
65dc2e7e73358196a167e39a,[],['多家庭房屋'],"['生活环境的宁静', 'iPad速写图']"
65dc2e7e73358196a167e398,"['方形', '普通', '困难']",['联排别墅'],"['ZenColor Daily', '生活环境的宁静', '高挑战图']"
65dc2e7e73358196a167e399,"['方形', '普通', '困难']",['其他物品'],"['ZenColor Daily', '美好事物带来的愉悦', '高挑战图']"
65dc2e7e73358196a167e397,"['方形', '普通', '困难']",['曼陀罗'],"['ZenColor普通图', '曼陀罗']"
