cms_id,content_tag_list_x,operations_tag_list_x,content_tag_list_y,operations_tag_list_y
65d2ca8aa64b6582fe056842,['多种动物'],['生机带来的希望'],['多种动物'],"['iPad速写图', '生机带来的希望']"
65d2ca8aa64b6582fe05683f,['孩子'],['友情'],['孩子'],"['友情', 'iPad速写图']"
65d2ca8aa64b6582fe05683d,['餐厅'],['生活环境的宁静'],['餐厅'],"['iPad速写图', '生活环境的宁静']"
65d2ca8aa64b6582fe056844,['沙发'],['美好事物带来的愉悦'],['沙发'],"['美好事物带来的愉悦', 'iPad速写图']"
65d2ca8aa64b6582fe056832,['其他豹'],['生机带来的希望'],['其他豹'],"['iPad速写图', '生机带来的希望']"
65d2cabd73358196a167714d,['其他房屋内饰'],['生活环境的宁静'],['其他房屋内饰'],"['生活环境的宁静', 'iPad速写图']"
65bb37dba64b6582fe045b54,['情侣'],['爱情'],['情侣'],"['VitaColor速写图', '爱情']"
65d84c98a64b6582fe05c0b1,['抽象线条'],['秩序化图案'],['抽象线条'],"['秩序化图案', 'ZenColor普通图']"
65d2ca8aa64b6582fe05683a,['孩子'],['经典童话再现'],['孩子'],"['经典童话再现', 'iPad速写图']"
65d2ca8aa64b6582fe05683e,['多人'],['社会生活的喜悦'],['多人'],"['iPad速写图', '社会生活的喜悦']"
65d2ca8aa64b6582fe056823,['现代简约式客厅'],['生活环境的宁静'],['现代简约式客厅'],"['iPad速写图', '生活环境的宁静']"
65c1e811a64b6582fe051193,['其他奇幻房屋'],['现实重构'],['其他奇幻房屋'],"['彩绘作者包-刘佳捷', '现实重构']"
65c1e811a64b6582fe05118b,['多种宠物'],['美好生活的喜悦'],['多种宠物'],"['美好生活的喜悦', 'iPad速写图']"
65bc8206a64b6582fe04839f,['多种动物'],['生机带来的希望'],['多种动物'],"['iPad速写图', '生机带来的希望']"
656019f8400a2d4b3a0eef51,['青蛙'],['生机带来的希望'],['青蛙'],"['ZenColor普通图', '生机带来的希望']"
65d5948ba64b6582fe0591ce,['桃子'],['生机带来的希望'],['桃子'],"['ZenColor普通图', '秩序化实体']"
65d2ca8aa64b6582fe056826,['虾'],['生机带来的希望'],['虾'],"['iPad速写图', '生机带来的希望']"
65d2ca8aa64b6582fe05682a,['现代简约式客厅'],['生活环境的宁静'],['现代简约式客厅'],"['iPad速写图', '生活环境的宁静']"
65d2ca8aa64b6582fe05681b,['天使'],['魔法'],['天使'],"['魔法', '彩绘作者包-Carmen_Ferreira']"
65d2ca8aa64b6582fe056817,['欧美日常女性'],['宠物情'],['欧美日常女性'],"['宠物情', 'VitaColor速写图']"
65c34ec473358196a16744e7,['棋'],['美好事物带来的愉悦'],['棋'],"['VitaColor速写图', '美好事物带来的愉悦']"
65c076a473358196a166ed56,['曼陀罗'],['曼陀罗'],['曼陀罗'],"['曼陀罗', 'ZenColor普通图']"
65c076a473358196a166ed4b,['图腾纹样'],['文化与图腾'],['图腾纹样'],"['iPad速写图', '文化与图腾']"
65d84c98a64b6582fe05c0b2,['抽象线条'],['秩序化图案'],['抽象线条'],"['秩序化图案', 'ZenColor普通图']"
65d2ca8aa64b6582fe056830,['海洋岛屿'],['人工融入自然的宁静'],['海洋岛屿'],"['iPad速写图', '自然环境的宁静']"
65d2ca8aa64b6582fe056838,['布偶猫'],['拟人化'],['布偶猫'],"['其他幻想', 'iPad速写图']"
65d2ca8aa64b6582fe05682e,['现代建筑'],['生活环境的宁静'],['现代建筑'],['生活环境的宁静']
65d2ca8aa64b6582fe056819,['大象'],['色彩之美'],['大象'],"['色彩之美', '彩绘作者包-Griselda_Anna']"
65d2ca8aa64b6582fe056815,['女士包'],['美好事物带来的愉悦'],['女士包'],"['美好事物带来的愉悦', 'VitaColor速写图']"
65c34ec473358196a16744e8,['孩子'],['友情'],['孩子'],"['VitaColor速写图', '友情']"
65b33e7f73358196a165b5bc,['立体图案'],['秩序化图案'],['立体图案'],"['ZenColor普通图', '秩序化图案']"
656019f8400a2d4b3a0eef52,['蝴蝶'],['生机带来的希望'],['蝴蝶'],"['ZenColor普通图', '生机带来的希望']"
65d81cb673358196a167c6d0,['凤凰'],['神话'],['凤凰'],"['神话', 'iPad速写图']"
