cms_id,content_tag_list_x,operations_tag_list_x,content_tag_list_y,operations_tag_list_y,Difference
65d2ca8aa64b6582fe056842,['多种动物'],['生机带来的希望'],['多种动物'],"['iPad速写图', '生机带来的希望']",True
65d2ca8aa64b6582fe05683f,['孩子'],['友情'],['孩子'],"['友情', 'iPad速写图']",True
65d2ca8aa64b6582fe056844,['沙发'],['美好事物带来的愉悦'],['沙发'],"['美好事物带来的愉悦', 'iPad速写图']",True
65d2ca8aa64b6582fe056832,['其他豹'],['生机带来的希望'],['其他豹'],"['iPad速写图', '生机带来的希望']",True
65bb37dba64b6582fe045b54,['情侣'],['爱情'],['情侣'],"['VitaColor速写图', '爱情']",True
65d84c98a64b6582fe05c0b1,['抽象线条'],['秩序化图案'],['抽象线条'],"['秩序化图案', 'ZenColor普通图']",True
65d2ca8aa64b6582fe05683e,['多人'],['社会生活的喜悦'],['多人'],"['iPad速写图', '社会生活的喜悦']",True
65c1e811a64b6582fe051193,['其他奇幻房屋'],['现实重构'],['其他奇幻房屋'],"['彩绘作者包-刘佳捷', '现实重构']",True
65bc8206a64b6582fe04839f,['多种动物'],['生机带来的希望'],['多种动物'],"['iPad速写图', '生机带来的希望']",True
656019f8400a2d4b3a0eef51,['青蛙'],['生机带来的希望'],['青蛙'],"['ZenColor普通图', '生机带来的希望']",True
65d2ca8aa64b6582fe056826,['虾'],['生机带来的希望'],['虾'],"['iPad速写图', '生机带来的希望']",True
65d2ca8aa64b6582fe05681b,['天使'],['魔法'],['天使'],"['魔法', '彩绘作者包-Carmen_Ferreira']",True
65d2ca8aa64b6582fe056817,['欧美日常女性'],['宠物情'],['欧美日常女性'],"['宠物情', 'VitaColor速写图']",True
65c34ec473358196a16744e7,['棋'],['美好事物带来的愉悦'],['棋'],"['VitaColor速写图', '美好事物带来的愉悦']",True
65c076a473358196a166ed56,['曼陀罗'],['曼陀罗'],['曼陀罗'],"['曼陀罗', 'ZenColor普通图']",True
65c076a473358196a166ed4b,['图腾纹样'],['文化与图腾'],['图腾纹样'],"['iPad速写图', '文化与图腾']",True
65d84c98a64b6582fe05c0b2,['抽象线条'],['秩序化图案'],['抽象线条'],"['秩序化图案', 'ZenColor普通图']",True
65d2ca8aa64b6582fe056819,['大象'],['色彩之美'],['大象'],"['色彩之美', '彩绘作者包-Griselda_Anna']",True
65d2ca8aa64b6582fe056815,['女士包'],['美好事物带来的愉悦'],['女士包'],"['美好事物带来的愉悦', 'VitaColor速写图']",True
65c34ec473358196a16744e8,['孩子'],['友情'],['孩子'],"['VitaColor速写图', '友情']",True
65b33e7f73358196a165b5bc,['立体图案'],['秩序化图案'],['立体图案'],"['ZenColor普通图', '秩序化图案']",True
656019f8400a2d4b3a0eef52,['蝴蝶'],['生机带来的希望'],['蝴蝶'],"['ZenColor普通图', '生机带来的希望']",True
65d81cb673358196a167c6d0,['凤凰'],['神话'],['凤凰'],"['神话', 'iPad速写图']",True
65c1e811a64b6582fe051198,['曼陀罗'],['曼陀罗'],['曼陀罗'],"['曼陀罗', 'ZenColor普通图']",True
65c076a473358196a166ed4a,['其他房屋内饰'],['秩序化建筑结构'],['其他房屋内饰'],"['秩序化建筑结构', 'iPad速写图']",True
65d2ca8aa64b6582fe056845,['刺猬'],['生机带来的希望'],['刺猬'],"['生机带来的希望', 'iPad速写图']",True
65d2ca8aa64b6582fe056835,['仙子'],['魔法'],['仙子'],"['魔法', '彩绘作者包-Carmen_Ferreira']",True
65c1e811a64b6582fe051180,['西餐'],['美好事物带来的愉悦'],['西餐'],"['VitaColor速写图', '美好事物带来的愉悦']",True
65c076a473358196a166ed42,['其他车'],['美好事物带来的愉悦'],['其他车'],"['VitaColor速写图', '美好事物带来的愉悦']",True
65a777b17bc0f70db0518942,['立体图案'],['秩序化图案'],['立体图案'],"['ZenColor普通图', '秩序化图案']",True
65c34ec473358196a16744ed,['梨'],['生机带来的希望'],['梨'],"['iPad速写图', '生机带来的希望']",True
65c1e811a64b6582fe051188,['多人'],['亲情'],['多人'],"['VitaColor速写图', '亲情']",True
65bf2ac5a64b6582fe04ba42,['帽子'],['美好事物带来的愉悦'],['帽子'],"['美好事物带来的愉悦', 'iPad速写图']",True
65bc8206a64b6582fe0483ae,['曼陀罗'],['曼陀罗'],['曼陀罗'],"['曼陀罗', 'ZenColor普通图']",True
655d9ae40224753e46a3ba61,['鸭'],['生机带来的希望'],['鸭'],"['ZenColor普通图', '生机带来的希望']",True
65d2ca8aa64b6582fe056840,['其他车'],['美好事物带来的愉悦'],['其他车'],"['iPad速写图', '美好事物带来的愉悦']",True
65d2ca8aa64b6582fe056833,['熊'],['拟人化'],['熊'],"['iPad速写图', '拟人化']",True
65c076a473358196a166ed44,['杯碟水壶'],['美好事物带来的愉悦'],['杯碟水壶'],"['VitaColor速写图', '美好事物带来的愉悦']",True
65bf2ac5a64b6582fe04ba46,['其他奇幻场景'],['魔法'],['其他奇幻场景'],"['魔法', 'iPad速写图']",True
65bf2ac5a64b6582fe04ba3e,['多种动物'],['拟人化'],['多种动物'],"['拟人化', '彩绘作者包-Roisin_Sweeney']",True
65894dda376df18c2fa0f03e,['抽象线条'],['秩序化图案'],['抽象线条'],"['秩序化图案', 'ZenColor普通图']",True
65d6e47173358196a167b2b6,['立体图案'],['秩序化图案'],['立体图案'],"['秩序化图案', 'ZenColor速写图']",True
65d81cb673358196a167c6d3,['孩子'],['宠物情'],['孩子'],"['iPad速写图', '宠物情']",True
65d81cb673358196a167c6d4,['野餐'],['美好事物带来的愉悦'],['野餐'],"['iPad速写图', '美好事物带来的愉悦']",True
